,start_date
2017-03-18,20567
2017-03-11,19776
2017-03-17,18319
2017-03-16,16050
2017-03-19,15136
2017-04-08,15000
2017-03-13,14887
2017-02-19,14672
2017-03-15,14642
2017-03-14,14443
2017-03-12,14265
2017-02-18,14129
2017-01-01,13993
2017-04-01,13886
2017-03-25,13691
2017-02-12,13484
2017-03-04,13379
2017-04-02,13184
2017-02-26,13138
2017-02-25,13059
2017-03-26,13044
2016-10-09,12644
2016-10-30,12562
2016-10-08,12540
2017-02-11,12319
2017-01-29,12286
2017-04-09,12063
2017-03-05,11913
2017-01-21,11885
2017-01-22,11624
2016-10-29,11584
2017-03-10,11550
2017-02-05,11550
2017-02-04,11026
2016-10-02,10783
2016-11-12,10721
2016-12-11,10594
2017-01-28,10578
2017-03-24,10573
2017-04-07,10508
2016-10-01,10432
2016-11-19,10405
2016-12-03,10375
2016-11-06,10230
2017-01-14,10171
2016-12-04,10019
2016-10-15,9881
2016-11-20,9791
2016-12-10,9654
2017-03-31,9488
2016-10-22,9445
2017-01-15,9401
2016-11-13,9366
2016-10-07,9153
2016-10-23,9015
2017-02-17,8939
2017-01-08,8660
2016-12-18,8647
2016-12-17,8614
2016-10-16,8476
2017-03-03,8358
2016-11-05,8342
2017-02-24,7902
2017-02-10,7870
2017-02-03,7488
2017-01-27,7291
2017-01-07,7217
2016-12-31,7129
2017-01-20,7115
2016-09-30,7113
2017-03-09,6942
2016-11-11,6911
2016-09-25,6667
2016-10-10,6639
2017-03-23,6594
2017-04-06,6585
2016-11-18,6538
2017-02-20,6471
2016-09-24,6218
2017-04-13,6180
2017-01-16,6174
2016-12-02,6033
2016-12-16,6021
2017-03-30,6005
2016-10-21,6002
2017-02-15,5970
2017-04-10,5967
2016-10-28,5949
2016-09-18,5891
2017-02-23,5858
2017-03-20,5850
2017-01-13,5701
2017-02-16,5686
2017-04-03,5665
2017-04-05,5602
2016-09-17,5556
2016-11-04,5555
2016-10-14,5535
2017-03-27,5516
2016-11-26,5449
