i,m,t
4352,8,8
4481,5,89
4747,5,75
3085,17,3
654,17,77
1808,5,4
4626,8,91
4117,5,46
4631,8,85
1432,12,52
1817,3,42
3740,8,58
4764,8,5
4127,12,24
416,8,70
1697,11,86
3362,9,15
4641,2,75
4642,1,55
3233,17,88
1185,17,16
4775,14,8
1061,17,16
4137,3,56
1321,8,69
2595,5,21
685,1,22
942,8,59
433,17,12
3761,5,56
4019,8,71
2229,12,5
1078,19,54
3767,3,61
311,12,81
4278,10,13
4791,1,77
444,11,84
3901,8,13
4545,8,6
1857,0,11
1991,8,89
2250,12,4
1099,2,55
4684,8,90
4430,5,7
719,8,5
3795,5,74
4691,5,75
4054,4,6
2776,8,70
3802,8,53
475,5,87
4576,8,19
1249,0,1
610,1,80
1255,13,58
4073,1,7
1519,3,70
4847,19,52
1398,10,57
2935,17,10
4726,8,6
2170,8,68
4862,8,93
