Rebate,N,SampleSize,CS,ElapsedTime,DevelopmentCost,EquipmentCost,ChargeCost,VOTCost,DriverUnique,DvlpCost(cent)/veh,EqipCost/veh,ChargeCost/veh,VOTCost/veh,OptimalCSAllocationLocation,,PlugNumberAtCorrespondingLocation,$/Plug
0,20,475,DC50,810,15.36,19.2,492.8,3349.83,154,9.974025974,12.46753247,,21.75214286,"3,5,8,13",0,"1,1,2,1",6.912
0,20,475,L27.7,785,8.16,10.08,492.8,21461.64,154,5.298701299,6.545454545,,139.3612987,"0-14,17,19",,"1,1,1,2,1,2,1,1,3,1,1,1,1,1,1,1,1",0.912
0,20,475,DC50,810,15.36,19.2,492.8,3349.83,154,9.974025974,12.46753247,,21.75214286,"3,5,8,13",0,"1,1,2,1",6.912
0,20,475,DC150,820,29,43.5,492.8,1173.86,154,18.83116883,28.24675325,,7.622467532,"1,8",,"1,2",24.16666667
0,20,,DC50,114,7.68,7.68,160,1081.42,50,15.36,15.36,,21.6284,"5,17",,"1,1",3.072
0,20,,DC50,250,11.52,15.36,320,2237.28,100,11.52,15.36,,22.3728,"1,8,11",,"1,2,1",1.344
0,20,,DC50,964,15.36,19.2,480,3258.68,150,10.24,12.8,,21.72453333,"3,5,8,13",,"1,1,2,1",6.144
25%,20,475,DC50,840,13.8,20.7,492.8,3345.21,154,8.961038961,13.44155844,,21.72214286,"2,3,5,8",,"1,1,2,2",11.5
50%,20,475,DC50,1503,15.36,17.28,492.8,3325.99,154,9.974025974,11.22077922,,21.59733766,"2,3,4,5,8,11,14,17",,"1,1,1,1,2,1,1,1",6.528
75%,20,475,DC50,1204,11.52,13.44,492.8,3314.27,154,7.480519481,8.727272727,,21.52123377,"0-5,8,11-12,14,17,19",,"1,1,1,2,1,1,2,1,1,1,1,1",1.248
